dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-BoT-IoT-v2,float,32,5,0.988298,0.999827,0.994029
NF-BoT-IoT-v2,float,32,9,0.991419,0.999823,0.995603
NF-BoT-IoT-v2,float,32,13,0.939048,0.999872,0.968505
NF-BoT-IoT-v2,float,64,5,0.932174,0.999861,0.964831
NF-BoT-IoT-v2,float,64,9,0.963654,0.999865,0.981425
NF-BoT-IoT-v2,float,64,13,0.957641,0.999865,0.978297
NF-BoT-IoT-v2,float,128,5,0.960072,0.999904,0.979583
NF-BoT-IoT-v2,float,128,9,0.958425,0.999882,0.978714
NF-BoT-IoT-v2,float,128,13,0.952096,0.999879,0.975402
NF-BoT-IoT-v2,float,256,5,0.955644,0.999928,0.977284
NF-BoT-IoT-v2,float,256,9,0.974121,0.999926,0.986855
NF-BoT-IoT-v2,float,256,13,0.966981,0.999932,0.983180
NF-BoT-IoT-v2,float,512,5,0.970058,0.999943,0.984773
NF-BoT-IoT-v2,float,512,9,0.965589,0.999920,0.982454
NF-BoT-IoT-v2,float,512,13,0.974779,0.999940,0.987199
NF-BoT-IoT-v2,float,1024,5,0.956559,0.999946,0.977771
NF-BoT-IoT-v2,float,1024,9,0.977973,0.999932,0.988830
NF-BoT-IoT-v2,float,1024,13,0.965176,0.999930,0.982245
NF-BoT-IoT-v2,float,2048,5,0.956559,0.999946,0.977771
NF-BoT-IoT-v2,float,2048,9,0.977398,0.999935,0.988538
NF-BoT-IoT-v2,float,2048,13,0.966385,0.999937,0.982874
NF-BoT-IoT-v2,integer,32,5,0.954202,0.999814,0.976475
NF-BoT-IoT-v2,integer,32,9,0.889478,0.999835,0.941432
NF-BoT-IoT-v2,integer,32,13,0.941222,0.999812,0.969632
NF-BoT-IoT-v2,integer,64,5,0.970912,0.999854,0.985170
NF-BoT-IoT-v2,integer,64,9,0.969649,0.999850,0.984517
NF-BoT-IoT-v2,integer,64,13,0.960349,0.999843,0.979697
NF-BoT-IoT-v2,integer,128,5,0.932062,0.999896,0.964787
NF-BoT-IoT-v2,integer,128,9,0.958619,0.999879,0.978814
NF-BoT-IoT-v2,integer,128,13,0.971696,0.999857,0.985575
NF-BoT-IoT-v2,integer,256,5,0.967349,0.999921,0.983365
NF-BoT-IoT-v2,integer,256,9,0.960112,0.999923,0.979613
NF-BoT-IoT-v2,integer,256,13,0.952568,0.999924,0.975671
NF-BoT-IoT-v2,integer,512,5,0.958175,0.999922,0.978603
NF-BoT-IoT-v2,integer,512,9,0.966900,0.999925,0.983135
NF-BoT-IoT-v2,integer,512,13,0.968331,0.999934,0.983878
NF-BoT-IoT-v2,integer,1024,5,0.958156,0.999918,0.978591
NF-BoT-IoT-v2,integer,1024,9,0.970530,0.999919,0.985005
NF-BoT-IoT-v2,integer,1024,13,0.979474,0.999912,0.989587
NF-BoT-IoT-v2,integer,2048,5,0.958156,0.999918,0.978591
NF-BoT-IoT-v2,integer,2048,9,0.976260,0.999916,0.987946
NF-BoT-IoT-v2,integer,2048,13,0.975696,0.999912,0.987655
NF-CSE-CIC-IDS2018-v2,float,32,5,0.999963,0.957926,0.978492
NF-CSE-CIC-IDS2018-v2,float,32,9,0.999956,0.959871,0.979503
NF-CSE-CIC-IDS2018-v2,float,32,13,0.999953,0.959874,0.979503
NF-CSE-CIC-IDS2018-v2,float,64,5,0.999983,0.959517,0.979331
NF-CSE-CIC-IDS2018-v2,float,64,9,0.999972,0.961735,0.980480
NF-CSE-CIC-IDS2018-v2,float,64,13,0.999971,0.962472,0.980862
NF-CSE-CIC-IDS2018-v2,float,128,5,0.999987,0.960183,0.979680
NF-CSE-CIC-IDS2018-v2,float,128,9,0.999968,0.964030,0.981669
NF-CSE-CIC-IDS2018-v2,float,128,13,0.999969,0.964758,0.982047
NF-CSE-CIC-IDS2018-v2,float,256,5,0.999991,0.962597,0.980937
NF-CSE-CIC-IDS2018-v2,float,256,9,0.999971,0.965148,0.982250
NF-CSE-CIC-IDS2018-v2,float,256,13,0.999967,0.965266,0.982309
NF-CSE-CIC-IDS2018-v2,float,512,5,0.999990,0.962873,0.981079
NF-CSE-CIC-IDS2018-v2,float,512,9,0.999976,0.965303,0.982333
NF-CSE-CIC-IDS2018-v2,float,512,13,0.999967,0.965508,0.982434
NF-CSE-CIC-IDS2018-v2,float,1024,5,0.999993,0.963653,0.981486
NF-CSE-CIC-IDS2018-v2,float,1024,9,0.999977,0.965488,0.982429
NF-CSE-CIC-IDS2018-v2,float,1024,13,0.999965,0.965728,0.982547
NF-CSE-CIC-IDS2018-v2,float,2048,5,0.999993,0.963748,0.981535
NF-CSE-CIC-IDS2018-v2,float,2048,9,0.999975,0.965521,0.982445
NF-CSE-CIC-IDS2018-v2,float,2048,13,0.999962,0.965826,0.982597
NF-CSE-CIC-IDS2018-v2,integer,32,5,0.999970,0.955393,0.977172
NF-CSE-CIC-IDS2018-v2,integer,32,9,0.999969,0.957673,0.978363
NF-CSE-CIC-IDS2018-v2,integer,32,13,0.999965,0.959570,0.979350
NF-CSE-CIC-IDS2018-v2,integer,64,5,0.999970,0.959076,0.979095
NF-CSE-CIC-IDS2018-v2,integer,64,9,0.999957,0.960702,0.979936
NF-CSE-CIC-IDS2018-v2,integer,64,13,0.999951,0.962117,0.980668
NF-CSE-CIC-IDS2018-v2,integer,128,5,0.999978,0.960820,0.980007
NF-CSE-CIC-IDS2018-v2,integer,128,9,0.999964,0.964208,0.981760
NF-CSE-CIC-IDS2018-v2,integer,128,13,0.999953,0.964809,0.982066
NF-CSE-CIC-IDS2018-v2,integer,256,5,0.999992,0.962731,0.981007
NF-CSE-CIC-IDS2018-v2,integer,256,9,0.999973,0.964958,0.982153
NF-CSE-CIC-IDS2018-v2,integer,256,13,0.999968,0.965153,0.982251
NF-CSE-CIC-IDS2018-v2,integer,512,5,0.999990,0.963105,0.981200
NF-CSE-CIC-IDS2018-v2,integer,512,9,0.999976,0.965168,0.982263
NF-CSE-CIC-IDS2018-v2,integer,512,13,0.999971,0.965490,0.982427
NF-CSE-CIC-IDS2018-v2,integer,1024,5,0.999990,0.963823,0.981572
NF-CSE-CIC-IDS2018-v2,integer,1024,9,0.999976,0.965409,0.982388
NF-CSE-CIC-IDS2018-v2,integer,1024,13,0.999965,0.965681,0.982523
NF-CSE-CIC-IDS2018-v2,integer,2048,5,0.999989,0.963722,0.981519
NF-CSE-CIC-IDS2018-v2,integer,2048,9,0.999974,0.965446,0.982406
NF-CSE-CIC-IDS2018-v2,integer,2048,13,0.999961,0.965756,0.982560
NF-ToN-IoT-v2,float,32,5,0.947574,0.995811,0.971092
NF-ToN-IoT-v2,float,32,9,0.963398,0.993925,0.978423
NF-ToN-IoT-v2,float,32,13,0.970594,0.991705,0.981035
NF-ToN-IoT-v2,float,64,5,0.966576,0.996854,0.981481
NF-ToN-IoT-v2,float,64,9,0.975640,0.994792,0.985122
NF-ToN-IoT-v2,float,64,13,0.977562,0.995521,0.986459
NF-ToN-IoT-v2,float,128,5,0.976997,0.997915,0.987345
NF-ToN-IoT-v2,float,128,9,0.980726,0.997206,0.988897
NF-ToN-IoT-v2,float,128,13,0.983681,0.996646,0.990120
NF-ToN-IoT-v2,float,256,5,0.984403,0.998117,0.991212
NF-ToN-IoT-v2,float,256,9,0.986685,0.997699,0.992161
NF-ToN-IoT-v2,float,256,13,0.987819,0.997570,0.992670
NF-ToN-IoT-v2,float,512,5,0.986933,0.998562,0.992713
NF-ToN-IoT-v2,float,512,9,0.989155,0.998193,0.993653
NF-ToN-IoT-v2,float,512,13,0.990019,0.998039,0.994012
NF-ToN-IoT-v2,float,1024,5,0.989038,0.998868,0.993928
NF-ToN-IoT-v2,float,1024,9,0.990668,0.998499,0.994568
NF-ToN-IoT-v2,float,1024,13,0.991960,0.998381,0.995160
NF-ToN-IoT-v2,float,2048,5,0.991078,0.999012,0.995029
NF-ToN-IoT-v2,float,2048,9,0.992393,0.998708,0.995540
NF-ToN-IoT-v2,float,2048,13,0.992964,0.998583,0.995765
NF-ToN-IoT-v2,integer,32,5,0.936793,0.997234,0.966068
NF-ToN-IoT-v2,integer,32,9,0.957546,0.992396,0.974659
NF-ToN-IoT-v2,integer,32,13,0.966498,0.991664,0.978918
NF-ToN-IoT-v2,integer,64,5,0.961696,0.996721,0.978894
NF-ToN-IoT-v2,integer,64,9,0.968631,0.995551,0.981906
NF-ToN-IoT-v2,integer,64,13,0.969656,0.995949,0.982626
NF-ToN-IoT-v2,integer,128,5,0.972257,0.997623,0.984776
NF-ToN-IoT-v2,integer,128,9,0.976847,0.996653,0.986650
NF-ToN-IoT-v2,integer,128,13,0.978444,0.996547,0.987412
