dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-BoT-IoT-v2,float,32,5,0.988298,0.999827,0.994029
NF-BoT-IoT-v2,float,32,9,0.991419,0.999823,0.995603
NF-BoT-IoT-v2,float,32,13,0.939048,0.999872,0.968505
NF-BoT-IoT-v2,float,64,5,0.932174,0.999861,0.964831
NF-BoT-IoT-v2,float,64,9,0.963654,0.999865,0.981425
NF-BoT-IoT-v2,float,64,13,0.957641,0.999865,0.978297
NF-BoT-IoT-v2,float,128,5,0.960072,0.999904,0.979583
NF-BoT-IoT-v2,float,128,9,0.958425,0.999882,0.978714
NF-BoT-IoT-v2,float,128,13,0.952096,0.999879,0.975402
NF-BoT-IoT-v2,float,256,5,0.955644,0.999928,0.977284
NF-BoT-IoT-v2,float,256,9,0.974121,0.999926,0.986855
NF-BoT-IoT-v2,float,256,13,0.966981,0.999932,0.983180
NF-BoT-IoT-v2,float,512,5,0.970058,0.999943,0.984773
NF-BoT-IoT-v2,float,512,9,0.965589,0.999920,0.982454
NF-BoT-IoT-v2,float,512,13,0.974779,0.999940,0.987199
NF-BoT-IoT-v2,float,1024,5,0.956559,0.999946,0.977771
NF-BoT-IoT-v2,float,1024,9,0.977973,0.999932,0.988830
NF-BoT-IoT-v2,float,1024,13,0.965176,0.999930,0.982245
NF-BoT-IoT-v2,float,2048,5,0.956559,0.999946,0.977771
NF-BoT-IoT-v2,float,2048,9,0.977398,0.999935,0.988538
NF-BoT-IoT-v2,float,2048,13,0.966385,0.999937,0.982874
NF-BoT-IoT-v2,integer,32,5,0.977476,0.999824,0.988523
NF-BoT-IoT-v2,integer,32,9,0.951667,0.999854,0.975165
NF-BoT-IoT-v2,integer,32,13,0.769394,0.999856,0.869613
NF-BoT-IoT-v2,integer,64,5,0.975229,0.999860,0.987391
NF-BoT-IoT-v2,integer,64,9,0.963364,0.999858,0.981271
NF-BoT-IoT-v2,integer,64,13,0.972547,0.999837,0.986002
NF-BoT-IoT-v2,integer,128,5,0.873981,0.999895,0.932706
NF-BoT-IoT-v2,integer,128,9,0.935737,0.999868,0.966739
NF-BoT-IoT-v2,integer,128,13,0.970328,0.999845,0.984865
NF-BoT-IoT-v2,integer,256,5,0.974823,0.999914,0.987208
NF-BoT-IoT-v2,integer,256,9,0.974173,0.999922,0.986879
NF-BoT-IoT-v2,integer,256,13,0.954348,0.999915,0.976599
NF-BoT-IoT-v2,integer,512,5,0.934945,0.999935,0.966348
NF-BoT-IoT-v2,integer,512,9,0.969941,0.999919,0.984702
NF-BoT-IoT-v2,integer,512,13,0.980249,0.999907,0.989980
NF-BoT-IoT-v2,integer,1024,5,0.922581,0.999933,0.959700
NF-BoT-IoT-v2,integer,1024,9,0.943718,0.999920,0.971005
NF-BoT-IoT-v2,integer,1024,13,0.963913,0.999900,0.981576
NF-BoT-IoT-v2,integer,2048,5,0.922581,0.999933,0.959700
NF-BoT-IoT-v2,integer,2048,9,0.944660,0.999920,0.971504
NF-BoT-IoT-v2,integer,2048,13,0.967276,0.999931,0.983332
NF-CSE-CIC-IDS2018-v2,float,32,5,0.999963,0.957926,0.978492
NF-CSE-CIC-IDS2018-v2,float,32,9,0.999956,0.959871,0.979503
NF-CSE-CIC-IDS2018-v2,float,32,13,0.999953,0.959874,0.979503
NF-CSE-CIC-IDS2018-v2,float,64,5,0.999983,0.959517,0.979331
NF-CSE-CIC-IDS2018-v2,float,64,9,0.999972,0.961735,0.980480
NF-CSE-CIC-IDS2018-v2,float,64,13,0.999971,0.962472,0.980862
NF-CSE-CIC-IDS2018-v2,float,128,5,0.999987,0.960183,0.979680
NF-CSE-CIC-IDS2018-v2,float,128,9,0.999968,0.964030,0.981669
NF-CSE-CIC-IDS2018-v2,float,128,13,0.999969,0.964758,0.982047
NF-CSE-CIC-IDS2018-v2,float,256,5,0.999991,0.962597,0.980937
NF-CSE-CIC-IDS2018-v2,float,256,9,0.999971,0.965148,0.982250
NF-CSE-CIC-IDS2018-v2,float,256,13,0.999967,0.965266,0.982309
NF-CSE-CIC-IDS2018-v2,float,512,5,0.999990,0.962873,0.981079
NF-CSE-CIC-IDS2018-v2,float,512,9,0.999976,0.965303,0.982333
NF-CSE-CIC-IDS2018-v2,float,512,13,0.999967,0.965508,0.982434
NF-CSE-CIC-IDS2018-v2,float,1024,5,0.999993,0.963653,0.981486
NF-CSE-CIC-IDS2018-v2,float,1024,9,0.999977,0.965488,0.982429
NF-CSE-CIC-IDS2018-v2,float,1024,13,0.999965,0.965728,0.982547
NF-CSE-CIC-IDS2018-v2,float,2048,5,0.999993,0.963748,0.981535
NF-CSE-CIC-IDS2018-v2,float,2048,9,0.999975,0.965521,0.982445
NF-CSE-CIC-IDS2018-v2,float,2048,13,0.999962,0.965826,0.982597
NF-CSE-CIC-IDS2018-v2,integer,32,5,0.999970,0.955393,0.977172
NF-CSE-CIC-IDS2018-v2,integer,32,9,0.999969,0.957673,0.978363
NF-CSE-CIC-IDS2018-v2,integer,32,13,0.999965,0.959570,0.979350
NF-CSE-CIC-IDS2018-v2,integer,64,5,0.999970,0.959076,0.979095
NF-CSE-CIC-IDS2018-v2,integer,64,9,0.999957,0.960702,0.979936
NF-CSE-CIC-IDS2018-v2,integer,64,13,0.999951,0.962117,0.980668
NF-CSE-CIC-IDS2018-v2,integer,128,5,0.999978,0.960820,0.980007
NF-CSE-CIC-IDS2018-v2,integer,128,9,0.999963,0.964342,0.981828
NF-CSE-CIC-IDS2018-v2,integer,128,13,0.999956,0.964784,0.982054
NF-CSE-CIC-IDS2018-v2,integer,256,5,0.999992,0.962679,0.980980
NF-CSE-CIC-IDS2018-v2,integer,256,9,0.999971,0.965112,0.982231
NF-CSE-CIC-IDS2018-v2,integer,256,13,0.999966,0.965250,0.982300
NF-CSE-CIC-IDS2018-v2,integer,512,5,0.999990,0.963326,0.981314
NF-CSE-CIC-IDS2018-v2,integer,512,9,0.999976,0.965317,0.982340
NF-CSE-CIC-IDS2018-v2,integer,512,13,0.999972,0.965584,0.982476
NF-CSE-CIC-IDS2018-v2,integer,1024,5,0.999990,0.963861,0.981592
NF-CSE-CIC-IDS2018-v2,integer,1024,9,0.999976,0.965533,0.982452
NF-CSE-CIC-IDS2018-v2,integer,1024,13,0.999969,0.965778,0.982575
NF-CSE-CIC-IDS2018-v2,integer,2048,5,0.999989,0.963797,0.981558
NF-CSE-CIC-IDS2018-v2,integer,2048,9,0.999974,0.965584,0.982477
NF-CSE-CIC-IDS2018-v2,integer,2048,13,0.999968,0.965875,0.982625
NF-ToN-IoT-v2,float,32,5,0.947574,0.995811,0.971092
NF-ToN-IoT-v2,float,32,9,0.963398,0.993925,0.978423
NF-ToN-IoT-v2,float,32,13,0.970594,0.991705,0.981035
NF-ToN-IoT-v2,float,64,5,0.966576,0.996854,0.981481
NF-ToN-IoT-v2,float,64,9,0.975640,0.994792,0.985122
NF-ToN-IoT-v2,float,64,13,0.977562,0.995521,0.986459
NF-ToN-IoT-v2,float,128,5,0.976997,0.997915,0.987345
NF-ToN-IoT-v2,float,128,9,0.980726,0.997206,0.988897
NF-ToN-IoT-v2,float,128,13,0.983681,0.996646,0.990120
NF-ToN-IoT-v2,float,256,5,0.984403,0.998117,0.991212
NF-ToN-IoT-v2,float,256,9,0.986685,0.997699,0.992161
NF-ToN-IoT-v2,float,256,13,0.987819,0.997570,0.992670
NF-ToN-IoT-v2,float,512,5,0.986933,0.998562,0.992713
NF-ToN-IoT-v2,float,512,9,0.989155,0.998193,0.993653
NF-ToN-IoT-v2,float,512,13,0.990019,0.998039,0.994012
NF-ToN-IoT-v2,float,1024,5,0.989038,0.998868,0.993928
NF-ToN-IoT-v2,float,1024,9,0.990668,0.998499,0.994568
NF-ToN-IoT-v2,float,1024,13,0.991960,0.998381,0.995160
NF-ToN-IoT-v2,float,2048,5,0.991078,0.999012,0.995029
NF-ToN-IoT-v2,float,2048,9,0.992393,0.998708,0.995540
NF-ToN-IoT-v2,float,2048,13,0.992964,0.998583,0.995765
NF-ToN-IoT-v2,integer,32,5,0.937191,0.996182,0.965785
NF-ToN-IoT-v2,integer,32,9,0.962031,0.992573,0.977063
NF-ToN-IoT-v2,integer,32,13,0.965528,0.991740,0.978458
NF-ToN-IoT-v2,integer,64,5,0.962470,0.996953,0.979408
NF-ToN-IoT-v2,integer,64,9,0.968211,0.995615,0.981721
NF-ToN-IoT-v2,integer,64,13,0.971046,0.996022,0.983375
NF-ToN-IoT-v2,integer,128,5,0.973339,0.997599,0.985319
NF-ToN-IoT-v2,integer,128,9,0.978239,0.996718,0.987392
NF-ToN-IoT-v2,integer,128,13,0.979372,0.996522,0.987872
