dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-BoT-IoT-v2,float,32,5,0.927653,0.999852,0.962400
NF-BoT-IoT-v2,float,32,9,0.946277,0.999839,0.972320
NF-BoT-IoT-v2,float,32,13,0.972859,0.999847,0.986168
NF-BoT-IoT-v2,float,64,5,0.985182,0.999846,0.992459
NF-BoT-IoT-v2,float,64,9,0.961874,0.999844,0.980491
NF-BoT-IoT-v2,float,64,13,0.977973,0.999828,0.988779
NF-BoT-IoT-v2,float,128,5,0.922525,0.999909,0.959659
NF-BoT-IoT-v2,float,128,9,0.968149,0.999867,0.983752
NF-BoT-IoT-v2,float,128,13,0.963788,0.999872,0.981498
NF-BoT-IoT-v2,float,256,5,0.855780,0.999908,0.922245
NF-BoT-IoT-v2,float,256,9,0.957779,0.999900,0.978385
NF-BoT-IoT-v2,float,256,13,0.960458,0.999857,0.979761
NF-BoT-IoT-v2,float,512,5,0.953170,0.999920,0.975985
NF-BoT-IoT-v2,float,512,9,0.951183,0.999928,0.974946
NF-BoT-IoT-v2,float,512,13,0.952767,0.999892,0.975760
NF-BoT-IoT-v2,float,1024,5,0.940209,0.999930,0.969150
NF-BoT-IoT-v2,float,1024,9,0.981413,0.999927,0.990583
NF-BoT-IoT-v2,float,1024,13,0.976118,0.999928,0.987879
NF-BoT-IoT-v2,float,2048,5,0.940209,0.999930,0.969150
NF-BoT-IoT-v2,float,2048,9,0.981413,0.999927,0.990583
NF-BoT-IoT-v2,float,2048,13,0.976102,0.999927,0.987870
NF-BoT-IoT-v2,integer,32,5,0.965155,0.999689,0.982118
NF-BoT-IoT-v2,integer,32,9,0.765885,0.999797,0.867345
NF-BoT-IoT-v2,integer,32,13,0.792879,0.999779,0.884387
NF-BoT-IoT-v2,integer,64,5,0.930048,0.999852,0.963687
NF-BoT-IoT-v2,integer,64,9,0.953992,0.999848,0.976381
NF-BoT-IoT-v2,integer,64,13,0.949861,0.999826,0.974202
NF-BoT-IoT-v2,integer,128,5,0.950805,0.999882,0.974725
NF-BoT-IoT-v2,integer,128,9,0.912112,0.999882,0.953981
NF-BoT-IoT-v2,integer,128,13,0.948014,0.999861,0.973247
NF-BoT-IoT-v2,integer,256,5,0.954500,0.999895,0.976670
NF-BoT-IoT-v2,integer,256,9,0.952191,0.999881,0.975453
NF-BoT-IoT-v2,integer,256,13,0.970708,0.999856,0.985066
NF-BoT-IoT-v2,integer,512,5,0.934555,0.999916,0.966130
NF-BoT-IoT-v2,integer,512,9,0.953760,0.999895,0.976282
NF-BoT-IoT-v2,integer,512,13,0.959300,0.999877,0.979167
NF-BoT-IoT-v2,integer,1024,5,0.950874,0.999924,0.974781
NF-BoT-IoT-v2,integer,1024,9,0.952562,0.999926,0.975668
NF-BoT-IoT-v2,integer,1024,13,0.959723,0.999920,0.979408
NF-BoT-IoT-v2,integer,2048,5,0.950874,0.999924,0.974781
NF-BoT-IoT-v2,integer,2048,9,0.952046,0.999926,0.975398
NF-BoT-IoT-v2,integer,2048,13,0.957635,0.999922,0.978321
NF-CSE-CIC-IDS2018-v2,float,32,5,0.999928,0.955219,0.977061
NF-CSE-CIC-IDS2018-v2,float,32,9,0.999970,0.958290,0.978685
NF-CSE-CIC-IDS2018-v2,float,32,13,0.999961,0.959770,0.979453
NF-CSE-CIC-IDS2018-v2,float,64,5,0.999980,0.958240,0.978664
NF-CSE-CIC-IDS2018-v2,float,64,9,0.999983,0.959468,0.979306
NF-CSE-CIC-IDS2018-v2,float,64,13,0.999976,0.962053,0.980647
NF-CSE-CIC-IDS2018-v2,float,128,5,0.999989,0.959848,0.979506
NF-CSE-CIC-IDS2018-v2,float,128,9,0.999965,0.964009,0.981657
NF-CSE-CIC-IDS2018-v2,float,128,13,0.999961,0.964836,0.982083
NF-CSE-CIC-IDS2018-v2,float,256,5,0.999989,0.961903,0.980575
NF-CSE-CIC-IDS2018-v2,float,256,9,0.999968,0.964532,0.981929
NF-CSE-CIC-IDS2018-v2,float,256,13,0.999966,0.965137,0.982242
NF-CSE-CIC-IDS2018-v2,float,512,5,0.999989,0.962329,0.980796
NF-CSE-CIC-IDS2018-v2,float,512,9,0.999972,0.964980,0.982164
NF-CSE-CIC-IDS2018-v2,float,512,13,0.999968,0.965221,0.982286
NF-CSE-CIC-IDS2018-v2,float,1024,5,0.999985,0.962696,0.980986
NF-CSE-CIC-IDS2018-v2,float,1024,9,0.999970,0.965053,0.982200
NF-CSE-CIC-IDS2018-v2,float,1024,13,0.999966,0.965318,0.982336
NF-CSE-CIC-IDS2018-v2,float,2048,5,0.999992,0.962945,0.981118
NF-CSE-CIC-IDS2018-v2,float,2048,9,0.999971,0.965141,0.982246
NF-CSE-CIC-IDS2018-v2,float,2048,13,0.999966,0.965422,0.982389
NF-CSE-CIC-IDS2018-v2,integer,32,5,0.999970,0.956742,0.977877
NF-CSE-CIC-IDS2018-v2,integer,32,9,0.999969,0.957288,0.978162
NF-CSE-CIC-IDS2018-v2,integer,32,13,0.999964,0.959415,0.979269
NF-CSE-CIC-IDS2018-v2,integer,64,5,0.999972,0.958771,0.978937
NF-CSE-CIC-IDS2018-v2,integer,64,9,0.999960,0.960798,0.979987
NF-CSE-CIC-IDS2018-v2,integer,64,13,0.999949,0.962710,0.980975
NF-CSE-CIC-IDS2018-v2,integer,128,5,0.999979,0.959876,0.979516
NF-CSE-CIC-IDS2018-v2,integer,128,9,0.999960,0.964252,0.981780
NF-CSE-CIC-IDS2018-v2,integer,128,13,0.999950,0.964585,0.981948
NF-CSE-CIC-IDS2018-v2,integer,256,5,0.999992,0.962919,0.981104
NF-CSE-CIC-IDS2018-v2,integer,256,9,0.999975,0.964682,0.982011
NF-CSE-CIC-IDS2018-v2,integer,256,13,0.999970,0.965074,0.982211
NF-CSE-CIC-IDS2018-v2,integer,512,5,0.999992,0.963271,0.981287
NF-CSE-CIC-IDS2018-v2,integer,512,9,0.999972,0.965181,0.982268
NF-CSE-CIC-IDS2018-v2,integer,512,13,0.999968,0.965407,0.982383
NF-CSE-CIC-IDS2018-v2,integer,1024,5,0.999992,0.963635,0.981476
NF-CSE-CIC-IDS2018-v2,integer,1024,9,0.999973,0.965242,0.982300
NF-CSE-CIC-IDS2018-v2,integer,1024,13,0.999970,0.965499,0.982431
NF-CSE-CIC-IDS2018-v2,integer,2048,5,0.999991,0.963670,0.981493
NF-CSE-CIC-IDS2018-v2,integer,2048,9,0.999975,0.965224,0.982291
NF-CSE-CIC-IDS2018-v2,integer,2048,13,0.999969,0.965518,0.982441
NF-ToN-IoT-v2,float,32,5,0.936017,0.996298,0.965216
NF-ToN-IoT-v2,float,32,9,0.964381,0.990355,0.977195
NF-ToN-IoT-v2,float,32,13,0.968650,0.989133,0.978784
NF-ToN-IoT-v2,float,64,5,0.956717,0.996903,0.976396
NF-ToN-IoT-v2,float,64,9,0.977526,0.992259,0.984837
NF-ToN-IoT-v2,float,64,13,0.978560,0.992455,0.985458
NF-ToN-IoT-v2,float,128,5,0.977426,0.996824,0.987029
NF-ToN-IoT-v2,float,128,9,0.980818,0.995703,0.988204
NF-ToN-IoT-v2,float,128,13,0.984136,0.995164,0.989619
NF-ToN-IoT-v2,float,256,5,0.983127,0.997976,0.990496
NF-ToN-IoT-v2,float,256,9,0.985944,0.997238,0.991559
NF-ToN-IoT-v2,float,256,13,0.987239,0.997046,0.992118
NF-ToN-IoT-v2,float,512,5,0.986454,0.998290,0.992336
NF-ToN-IoT-v2,float,512,9,0.988894,0.997758,0.993306
NF-ToN-IoT-v2,float,512,13,0.989727,0.997611,0.993653
NF-ToN-IoT-v2,float,1024,5,0.988578,0.998569,0.993548
NF-ToN-IoT-v2,float,1024,9,0.990926,0.998142,0.994521
NF-ToN-IoT-v2,float,1024,13,0.991839,0.998051,0.994935
NF-ToN-IoT-v2,float,2048,5,0.990503,0.998781,0.994624
NF-ToN-IoT-v2,float,2048,9,0.992098,0.998347,0.995212
NF-ToN-IoT-v2,float,2048,13,0.992632,0.998191,0.995404
NF-ToN-IoT-v2,integer,32,5,0.924889,0.996982,0.959582
NF-ToN-IoT-v2,integer,32,9,0.945382,0.992982,0.968597
NF-ToN-IoT-v2,integer,32,13,0.949563,0.991957,0.970296
NF-ToN-IoT-v2,integer,64,5,0.938904,0.998683,0.967870
NF-ToN-IoT-v2,integer,64,9,0.950711,0.995154,0.972424
NF-ToN-IoT-v2,integer,64,13,0.961510,0.991354,0.976203
NF-ToN-IoT-v2,integer,128,5,0.953460,0.997523,0.974993
NF-ToN-IoT-v2,integer,128,9,0.962719,0.993769,0.977997
NF-ToN-IoT-v2,integer,128,13,0.964189,0.993370,0.978561
NF-ToN-IoT-v2,integer,256,5,0.954744,0.998025,0.975904
NF-ToN-IoT-v2,integer,256,9,0.961955,0.995778,0.978574
NF-ToN-IoT-v2,integer,256,13,0.965881,0.994511,0.979986
NF-ToN-IoT-v2,integer,512,5,0.959433,0.997758,0.978220
NF-ToN-IoT-v2,integer,512,9,0.965625,0.996083,0.980617
NF-ToN-IoT-v2,integer,512,13,0.968190,0.995140,0.981479
NF-ToN-IoT-v2,integer,1024,5,0.962903,0.997869,0.980074
NF-ToN-IoT-v2,integer,1024,9,0.968543,0.996074,0.982115
NF-ToN-IoT-v2,integer,1024,13,0.969581,0.995854,0.982542
NF-ToN-IoT-v2,integer,2048,5,0.964499,0.998131,0.981026
